trace,timeout,size_mb,modified,duration_sec,launched_arguments,expected_target,target_seen,has_corespace,has_instrument_data,has_shared_data,has_symbols,toc_status,time_profile_status,time_sample_status,contains_lzfse_profile,contains_zsh,contains_tar,contains_zstd,contains_lz4,table_count,schemas
trace檔案,是否timeout,大小(MB),修改時間,trace耗時(秒),啟動參數,預期目標程序,是否看到目標程序,是否有corespace,是否有instrument_data,是否有shared_data,是否有symbols,TOC狀態,time-profile狀態,time-sample狀態,包含lzfse-profile,包含zsh,包含tar,包含zstd,包含lz4,table數量,schema清單
"claw-code-apple-n4.trace","no","8","2026-08-28 01:14:20","60.762719","-encode -si -o ./trace/claw-code.apple-n4.out -algo apple -n 4","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
"claw-code-apple-n40.trace","no","8","2026-08-28 01:28:25","60.811499","-encode -si -o ./trace/claw-code.apple-n40.out -algo apple -n 40","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
"claw-code-apple-n8.trace","no","8","2026-08-28 01:21:26","60.967074","-encode -si -o ./trace/claw-code.apple-n8.out -algo apple -n 8","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
"claw-code-bvx3-n4.trace","no","8","2026-08-28 01:15:30","60.764642","-encode -si -o ./trace/claw-code.bvx3-n4.out -algo bvx3 -n 4","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
"claw-code-bvx3-n40.trace","no","9","2026-08-28 01:29:34","60.669470","-encode -si -o ./trace/claw-code.bvx3-n40.out -algo bvx3 -n 40","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
"claw-code-bvx3-n8.trace","no","8","2026-08-28 01:22:35","60.820869","-encode -si -o ./trace/claw-code.bvx3-n8.out -algo bvx3 -n 8","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
"claw-code-lazy2-n4.trace","no","12","2026-08-28 01:16:40","60.685476","-encode -si -o ./trace/claw-code.lazy2-n4.out -algo bvx3 -lazy2 -n 4","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
"claw-code-lazy2-n40.trace","no","16","2026-08-28 01:30:43","60.681314","-encode -si -o ./trace/claw-code.lazy2-n40.out -algo bvx3 -lazy2 -n 40","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
"claw-code-lazy2-n8.trace","no","15","2026-08-28 01:23:45","60.643399","-encode -si -o ./trace/claw-code.lazy2-n8.out -algo bvx3 -lazy2 -n 8","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
"claw-code-optimal-n4.trace","no","17","2026-08-28 01:17:53","60.874290","-encode -si -o ./trace/claw-code.optimal-n4.out -algo bvx3 -optimal -n 4","lzfse-profile","yes","yes","yes","yes","yes","ok","ok","ok","yes","no","no","no","no","35","device-thermal-state-intervals;dyld-library-load;hang-risks;kdebug;kdebug-strings;life-cycle-period;os-log;os-signpost;os-signpost-arg;OSSignpostIntervals;PointsOfInterestEvents;potential-hangs;process-info;runloop-events;StateReportingIntervals;thread-info;tick;time-profile;time-sample"
