dataset,format,output_mode,encode_rss_mb,decode_rss_mb
claw-code,Other3,nul,135,257.4
claw-code,Optimal3,nul,501.5,255.6
claw-code,BVX3,nul,145.7,248.7
claw-code,Lazy2,nul,485,248.7
claw-code,Optimal,nul,509.8,244.5
claw-code,LZ4,nul,8.4,8.9
claw-code,ZSTD,nul,8.9,8.4
claw-code,Tgz,nul,139.1,43.7
claw-code,Other3,file,138.2,257.4
claw-code,Optimal3,file,496.8,255.5
claw-code,BVX3,file,146.8,249.2
claw-code,Lazy2,file,483,247.9
claw-code,Optimal,file,511.4,244.8
claw-code,LZ4,file,8.9,8.4
claw-code,ZSTD,file,8.9,8.9
claw-code,Tgz,file,144.1,45.2
llama.cpp,Other3,nul,134.7,346
llama.cpp,Optimal3,nul,764.6,347.1
llama.cpp,BVX3,nul,147.1,347.4
llama.cpp,Lazy2,nul,672.9,346.6
llama.cpp,Optimal,nul,753.1,344.4
llama.cpp,LZ4,nul,8.4,8.9
llama.cpp,ZSTD,nul,8.9,8.9
llama.cpp,Tgz,nul,97.3,50.7
llama.cpp,Other3,file,157.9,345.6
llama.cpp,Optimal3,file,762.1,345.6
llama.cpp,BVX3,file,154.9,346
llama.cpp,Lazy2,file,639.3,346.6
llama.cpp,Optimal,file,755.7,346.4
llama.cpp,LZ4,file,8.4,8.4
llama.cpp,ZSTD,file,8.9,8.9
llama.cpp,Tgz,file,168.7,58
