dataset,format,output_mode,encode_rss_mb,decode_rss_mb
claw-code,Other3,nul,116.1,247.2
claw-code,BVX3,nul,173.7,245.6
claw-code,Lazy2,nul,480.7,242.3
claw-code,Optimal,nul,508.8,240.6
claw-code,LZ4,nul,8.3,8.3
claw-code,ZSTD,nul,8.3,8.3
claw-code,Tgz,nul,6.3,5.7
claw-code,Other3,file,131.6,247.2
claw-code,BVX3,file,155.2,245.1
claw-code,Lazy2,file,485.1,242.2
claw-code,Optimal,file,512.5,240.6
claw-code,LZ4,file,8.3,8.3
claw-code,ZSTD,file,8.3,8.8
claw-code,Tgz,file,6.3,6.1
llama.cpp,Other3,nul,135.3,346.1
llama.cpp,BVX3,nul,162.6,346.6
llama.cpp,Lazy2,nul,635.3,346
llama.cpp,Optimal,nul,756.6,346
llama.cpp,LZ4,nul,8.3,8.3
llama.cpp,ZSTD,nul,8.3,8.3
llama.cpp,Tgz,nul,6.5,5.7
llama.cpp,Other3,file,146,346.2
llama.cpp,BVX3,file,171.8,346.5
llama.cpp,Lazy2,file,649.8,345.6
llama.cpp,Optimal,file,760.5,346.1
llama.cpp,LZ4,file,8.3,8.3
llama.cpp,ZSTD,file,8.8,8.3
llama.cpp,Tgz,file,6.5,6.9
